<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=13 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=14 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,<a href='https://euroeval.com/datasets/catalan#guia-cat'>guia_cat</a>,<a href='https://euroeval.com/datasets/catalan#wikiann-ca'>wikiann_ca</a>,<a href='https://euroeval.com/datasets/catalan#scala-ca'>scala_ca</a>,<a href='https://euroeval.com/datasets/catalan#multi-wiki-qa-ca'>multi_wiki_qa_ca</a>,<a href='https://euroeval.com/datasets/catalan#dacsa-ca'>dacsa_ca</a>,<a href='https://euroeval.com/datasets/catalan#mmlu-ca'>mmlu_ca</a>,<a href='https://euroeval.com/datasets/catalan#winogrande-ca'>winogrande_ca</a>,guia_cat_version,wikiann_ca_version,scala_ca_version,multi_wiki_qa_ca_version,dacsa_ca_version,mmlu_ca_version,winogrande_ca_version
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.62@@2.62,8030261248.0,128256.0,131072.0,✓,✗,53.23 ± 2.08 / 58.74 ± 1.32@@53.23,68.48 ± 2.14 / 68.48 ± 2.14@@68.48,4.18 ± 2.42 / 34.16 ± 0.70@@4.18,28.89 ± 8.89 / 7.34 ± 5.49@@28.89,66.80 ± 0.06 / 18.01 ± 0.17@@66.80,48.61 ± 0.52 / 61.18 ± 0.45@@48.61,14.56 ± 1.72 / 57.32 ± 0.81@@14.56,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.64@@2.64,21511953984.0,201088.0,131072.0,✓,✗,59.01 ± 1.77 / 56.63 ± 1.10@@59.01,60.52 ± 1.35 / 60.52 ± 1.35@@60.52,19.46 ± 1.79 / 58.95 ± 0.87@@19.46,62.65 ± 0.84 / 39.35 ± 0.90@@62.65,58.03 ± 0.87 / 13.09 ± 0.22@@58.03,69.82 ± 1.58 / 76.84 ± 1.31@@69.82,23.65 ± 1.77 / 61.59 ± 0.92@@23.65,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.66@@2.66,9152319488.0,128000.0,4096.0,✓,✗,44.08 ± 3.42 / 61.14 ± 1.07@@44.08,68.26 ± 4.34 / 68.26 ± 4.34@@68.26,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,72.97 ± 1.21 / 55.51 ± 1.53@@72.97,66.49 ± 0.40 / 23.86 ± 0.77@@66.49,30.33 ± 1.12 / 46.89 ± 0.80@@30.33,8.98 ± 2.43 / 52.52 ± 1.45@@8.98,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.67@@2.67,32233522176.0,100278.0,65536.0,✓,✗,24.98 ± 4.01 / 45.82 ± 7.99@@24.98,67.53 ± 1.65 / 67.53 ± 1.65@@67.53,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,80.41 ± 0.59 / 62.67 ± 0.80@@80.41,66.99 ± 0.27 / 24.44 ± 0.61@@66.99,42.12 ± 0.83 / 56.13 ± 0.72@@42.12,15.88 ± 2.10 / 57.47 ± 1.25@@15.88,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,2.68@@2.68,70599864480.0,131072.0,65536.0,✗,✗,28.64 ± 4.36 / 52.48 ± 2.84@@28.64,68.03 ± 1.58 / 68.03 ± 1.58@@68.03,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,46.57 ± 4.26 / 28.37 ± 3.57@@46.57,67.01 ± 0.12 / 19.15 ± 0.57@@67.01,44.15 ± 1.07 / 56.85 ± 0.93@@44.15,21.82 ± 2.86 / 60.18 ± 1.53@@21.82,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,2.73@@2.73,7298011136.0,100278.0,65536.0,✓,✗,45.51 ± 3.55 / 55.62 ± 2.37@@45.51,63.07 ± 2.63 / 63.07 ± 2.63@@63.07,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,74.93 ± 0.90 / 57.85 ± 1.23@@74.93,65.92 ± 0.54 / 22.38 ± 0.92@@65.92,24.31 ± 1.07 / 43.14 ± 0.86@@24.31,6.98 ± 2.06 / 52.91 ± 0.93@@6.98,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny</a>,📝,2.74@@2.74,6939037248.0,100352.0,131072.0,✓,✗,62.70 ± 3.01 / 64.57 ± 1.87@@62.70,64.30 ± 2.32 / 64.30 ± 2.32@@64.30,-0.22 ± 0.42 / 33.36 ± 0.27@@-0.22,28.75 ± 4.11 / 7.56 ± 3.93@@28.75,66.66 ± 0.15 / 18.24 ± 0.39@@66.66,40.34 ± 1.71 / 54.87 ± 1.51@@40.34,6.99 ± 3.35 / 52.76 ± 1.79@@6.99,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,2.82@@2.82,3075098624.0,128256.0,65536.0,✓,✗,58.38 ± 2.67 / 61.85 ± 0.86@@58.38,61.56 ± 3.41 / 61.56 ± 3.41@@61.56,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,66.33 ± 1.96 / 43.87 ± 3.73@@66.33,64.29 ± 0.64 / 20.54 ± 1.18@@64.29,26.17 ± 1.25 / 43.67 ± 1.12@@26.17,1.66 ± 1.32 / 49.99 ± 0.87@@1.66,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama</a>,🧠,2.84@@2.84,7799574528.0,100096.0,4096.0,✓,✗,66.46 ± 1.77 / 64.49 ± 1.52@@66.46,61.31 ± 3.76 / 61.31 ± 3.76@@61.31,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,60.88 ± 0.89 / 43.16 ± 2.21@@60.88,65.81 ± 0.46 / 22.73 ± 0.82@@65.81,2.23 ± 0.54 / 22.23 ± 0.68@@2.23,0.00 ± 0.00 / 49.12 ± 0.75@@0.00,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.87@@2.87,4300079472.0,262144.0,8192.0,✓,✗,56.29 ± 2.32 / 58.11 ± 1.55@@56.29,61.96 ± 1.37 / 61.96 ± 1.37@@61.96,5.66 ± 3.78 / 35.85 ± 2.54@@5.66,18.95 ± 0.75 / 0.27 ± 0.29@@18.95,66.68 ± 0.07 / 17.96 ± 0.14@@66.68,31.93 ± 0.96 / 47.91 ± 0.82@@31.93,10.15 ± 1.91 / 54.83 ± 1.05@@10.15,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,2.88@@2.88,9152319488.0,128000.0,4096.0,✗,✗,43.38 ± 4.41 / 57.57 ± 1.49@@43.38,68.38 ± 2.44 / 68.38 ± 2.44@@68.38,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,22.03 ± 0.67 / 0.64 ± 0.37@@22.03,66.15 ± 0.14 / 15.90 ± 0.14@@66.15,34.14 ± 0.56 / 50.54 ± 0.49@@34.14,17.53 ± 2.84 / 56.10 ± 1.32@@17.53,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,3.00@@3.00,7298011136.0,100278.0,65536.0,✗,✗,42.95 ± 2.06 / 57.80 ± 0.87@@42.95,58.85 ± 2.16 / 58.85 ± 2.16@@58.85,12.50 ± 1.44 / 55.47 ± 0.98@@12.50,61.98 ± 0.82 / 35.46 ± 2.04@@61.98,61.72 ± 5.38 / 15.15 ± 1.22@@61.72,18.20 ± 1.16 / 37.91 ± 0.87@@18.20,4.95 ± 1.80 / 52.65 ± 0.90@@4.95,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B#no-thinking</a>,📝,3.01@@3.01,3075098624.0,128256.0,65536.0,✓,✗,43.46 ± 2.49 / 60.01 ± 1.00@@43.46,64.42 ± 1.83 / 64.42 ± 1.83@@64.42,2.79 ± 1.45 / 33.99 ± 0.56@@2.79,24.12 ± 0.83 / 0.74 ± 0.29@@24.12,65.78 ± 0.20 / 14.37 ± 0.64@@65.78,25.39 ± 0.81 / 43.18 ± 0.69@@25.39,6.89 ± 2.97 / 52.76 ± 1.57@@6.89,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct</a>,📝,3.02@@3.02,3212749824.0,128256.0,131072.0,✓,✗,52.63 ± 3.88 / 57.27 ± 1.71@@52.63,67.49 ± 1.79 / 67.49 ± 1.79@@67.49,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,10.66 ± 0.79 / 0.04 ± 0.08@@10.66,66.53 ± 0.15 / 17.80 ± 0.21@@66.53,25.64 ± 0.93 / 44.03 ± 0.70@@25.64,0.48 ± 2.45 / 50.12 ± 1.28@@0.48,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,3.04@@3.04,7768117248.0,256000.0,8192.0,✓,✗,62.16 ± 2.86 / 64.49 ± 0.97@@62.16,57.63 ± 2.06 / 57.63 ± 2.06@@57.63,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,21.83 ± 0.49 / 0.00 ± 0.00@@21.83,63.83 ± 0.73 / 14.24 ± 0.50@@63.83,24.85 ± 1.10 / 42.09 ± 0.90@@24.85,9.15 ± 1.25 / 51.92 ± 0.56@@9.15,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,3.06@@3.06,7241732096.0,32000.0,32768.0,✓,✗,15.22 ± 4.25 / 22.34 ± 3.84@@15.22,64.00 ± 3.27 / 64.00 ± 3.27@@64.00,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,72.27 ± 1.62 / 49.26 ± 4.33@@72.27,66.68 ± 0.47 / 24.27 ± 1.03@@66.68,16.83 ± 1.00 / 28.83 ± 0.84@@16.83,-0.10 ± 1.60 / 49.22 ± 0.76@@-0.10,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,3.07@@3.07,528384.0,100278.0,65536.0,✗,✗,44.02 ± 2.05 / 58.21 ± 0.83@@44.02,58.67 ± 2.06 / 58.67 ± 2.06@@58.67,13.45 ± 1.25 / 56.02 ± 0.87@@13.45,62.71 ± 0.65 / 39.92 ± 1.97@@62.71,61.14 ± 6.31 / 15.53 ± 1.57@@61.14,18.09 ± 1.23 / 37.93 ± 0.90@@18.09,4.52 ± 2.15 / 52.42 ± 1.05@@4.52,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.07@@3.07,751632384.0,151936.0,40960.0,✓,✗,52.52 ± 5.19 / 53.10 ± 3.79@@52.52,52.41 ± 2.21 / 52.41 ± 2.21@@52.41,2.35 ± 1.62 / 37.03 ± 3.42@@2.35,42.18 ± 1.44 / 26.91 ± 1.36@@42.18,65.96 ± 0.19 / 17.38 ± 0.19@@65.96,11.06 ± 0.92 / 31.24 ± 0.84@@11.06,1.34 ± 2.40 / 49.25 ± 0.68@@1.34,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,3.09@@3.09,3606752256.0,128256.0,131072.0,✓,✗,44.92 ± 6.09 / 53.37 ± 4.83@@44.92,64.97 ± 1.83 / 64.97 ± 1.83@@64.97,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,14.54 ± 1.24 / 0.04 ± 0.05@@14.54,65.69 ± 0.16 / 15.44 ± 0.17@@65.69,27.52 ± 1.64 / 44.98 ± 1.67@@27.52,2.03 ± 2.06 / 50.38 ± 1.31@@2.03,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B</a>,📝,3.14@@3.14,2569272320.0,65536.0,128000.0,✗,✗,48.81 ± 4.09 / 55.86 ± 2.20@@48.81,51.25 ± 1.56 / 51.25 ± 1.56@@51.25,5.36 ± 1.70 / 52.03 ± 1.21@@5.36,32.01 ± 3.39 / 8.17 ± 2.43@@32.01,64.55 ± 0.06 / 13.48 ± 0.20@@64.55,21.93 ± 0.95 / 40.97 ± 0.67@@21.93,5.81 ± 1.15 / 52.57 ± 0.63@@5.81,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,3.24@@3.24,7298011136.0,100278.0,65536.0,✗,✗,43.80 ± 2.70 / 57.88 ± 1.07@@43.80,59.38 ± 2.31 / 59.38 ± 2.31@@59.38,12.33 ± 2.35 / 55.12 ± 1.58@@12.33,55.23 ± 4.79 / 35.80 ± 3.55@@55.23,58.41 ± 8.13 / 18.86 ± 2.51@@58.41,16.82 ± 1.30 / 36.00 ± 1.16@@16.82,5.39 ± 2.57 / 52.80 ± 1.27@@5.39,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct</a>,📝,3.26@@3.26,1543714304.0,151936.0,32768.0,✓,✗,56.08 ± 1.38 / 51.01 ± 0.63@@56.08,52.73 ± 2.36 / 52.73 ± 2.36@@52.73,8.70 ± 2.32 / 52.23 ± 1.56@@8.70,23.43 ± 0.54 / 0.99 ± 0.41@@23.43,60.29 ± 0.63 / 8.07 ± 0.96@@60.29,27.27 ± 1.05 / 45.42 ± 0.83@@27.27,0.46 ± 1.80 / 50.29 ± 0.94@@0.46,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.28@@3.28,1235814400.0,128256.0,131072.0,✓,✗,61.90 ± 2.94 / 56.53 ± 2.25@@61.90,46.86 ± 4.55 / 46.86 ± 4.55@@46.86,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,53.13 ± 1.96 / 34.80 ± 2.64@@53.13,61.25 ± 0.73 / 16.47 ± 0.59@@61.25,1.55 ± 1.18 / 25.04 ± 0.94@@1.55,-0.04 ± 1.80 / 49.05 ± 0.81@@-0.04,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,3.32@@3.32,2424375168.0,99000.0,28723.0,✗,✗,53.23 ± 6.84 / 53.26 ± 4.21@@53.23,50.80 ± 1.75 / 50.80 ± 1.75@@50.80,4.55 ± 1.19 / 47.05 ± 1.96@@4.55,18.74 ± 0.54 / 0.00 ± 0.00@@18.74,63.41 ± 0.38 / 14.40 ± 0.49@@63.41,13.30 ± 1.57 / 31.90 ± 1.68@@13.30,-1.20 ± 2.74 / 49.03 ± 0.87@@-1.20,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,3.33@@3.33,7768117248.0,256000.0,8192.0,✓,✗,15.56 ± 6.05 / 23.02 ± 8.10@@15.56,59.92 ± 2.94 / 59.92 ± 2.94@@59.92,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,70.38 ± 1.24 / 49.29 ± 3.97@@70.38,61.15 ± 1.67 / 16.50 ± 1.92@@61.15,16.11 ± 1.49 / 28.80 ± 1.46@@16.11,5.89 ± 2.53 / 50.22 ± 1.03@@5.89,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,3.43@@3.43,1170340608.0,65536.0,128000.0,✗,✗,51.14 ± 4.13 / 55.54 ± 2.94@@51.14,44.28 ± 1.68 / 44.28 ± 1.68@@44.28,2.97 ± 1.39 / 45.95 ± 2.27@@2.97,15.81 ± 0.59 / 0.29 ± 0.30@@15.81,62.60 ± 0.20 / 13.83 ± 0.23@@62.60,9.84 ± 0.83 / 31.90 ± 0.62@@9.84,1.25 ± 2.57 / 49.18 ± 0.68@@1.25,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.53@@3.53,999885952.0,262144.0,32768.0,✓,✗,41.75 ± 4.46 / 54.80 ± 2.59@@41.75,36.31 ± 1.62 / 36.31 ± 1.62@@36.31,4.11 ± 1.68 / 40.12 ± 3.54@@4.11,16.23 ± 0.52 / 0.08 ± 0.07@@16.23,65.25 ± 0.70 / 17.21 ± 0.99@@65.25,4.54 ± 1.02 / 26.76 ± 0.97@@4.54,-2.44 ± 2.54 / 48.36 ± 1.08@@-2.44,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,3.56@@3.56,999885952.0,262144.0,32768.0,✓,✗,59.76 ± 3.37 / 60.03 ± 2.13@@59.76,15.16 ± 2.28 / 15.16 ± 2.28@@15.16,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,50.60 ± 1.30 / 31.34 ± 2.54@@50.60,61.95 ± 1.60 / 16.54 ± 1.45@@61.95,-0.47 ± 1.09 / 21.96 ± 0.62@@-0.47,0.35 ± 1.72 / 49.47 ± 0.83@@0.35,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.61@@3.61,2611528704.0,128000.0,4096.0,✓,✗,27.37 ± 15.67 / 42.17 ± 5.80@@27.37,20.28 ± 4.62 / 20.28 ± 4.62@@20.28,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,49.46 ± 1.14 / 31.61 ± 1.87@@49.46,65.04 ± 0.34 / 21.03 ± 0.65@@65.04,1.25 ± 0.87 / 23.08 ± 0.93@@1.25,0.36 ± 2.02 / 49.40 ± 0.81@@0.36,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview</a>,🧠,3.62@@3.62,3211926528.0,65536.0,4096.0,✓,✗,42.91 ± 6.76 / 44.47 ± 4.55@@42.91,33.76 ± 3.85 / 33.76 ± 3.85@@33.76,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,34.88 ± 2.17 / 19.28 ± 2.47@@34.88,63.35 ± 0.78 / 16.18 ± 0.54@@63.35,-0.12 ± 1.04 / 22.50 ± 0.89@@-0.12,-2.34 ± 2.45 / 49.11 ± 0.91@@-2.34,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,3.72@@3.72,1235814400.0,128256.0,131072.0,✓,✗,9.40 ± 5.95 / 13.76 ± 7.60@@9.40,56.61 ± 3.04 / 56.61 ± 3.04@@56.61,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,13.93 ± 0.85 / 0.00 ± 0.00@@13.93,62.90 ± 0.38 / 14.62 ± 0.52@@62.90,0.98 ± 1.61 / 24.89 ± 0.91@@0.98,-0.36 ± 0.91 / 49.33 ± 0.73@@-0.36,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,3.75@@3.75,1195468800.0,65536.0,2048.0,✓,✗,29.04 ± 12.80 / 30.54 ± 11.41@@29.04,53.62 ± 3.39 / 53.62 ± 3.39@@53.62,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,33.06 ± 1.72 / 17.08 ± 1.60@@33.06,55.51 ± 4.47 / 13.33 ± 1.24@@55.51,-0.28 ± 0.97 / 24.24 ± 0.56@@-0.28,-0.95 ± 2.60 / 48.87 ± 1.01@@-0.95,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,3.77@@3.77,742489344.0,65536.0,128000.0,✗,✗,41.51 ± 4.25 / 50.73 ± 2.91@@41.51,30.25 ± 2.71 / 30.25 ± 2.71@@30.25,0.81 ± 1.88 / 45.88 ± 3.12@@0.81,12.27 ± 0.41 / 0.04 ± 0.08@@12.27,61.61 ± 0.23 / 12.14 ± 0.29@@61.61,8.57 ± 0.83 / 28.09 ± 0.67@@8.57,0.00 ± 0.00 / 49.12 ± 0.75@@0.00,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
