<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,
model,generative_type,rank,catalan,french,italian,portuguese,romanian,spanish,parameters,vocabulary_size,context,commercial,merge
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,2.15@@2.15,1.84@@1.84,1.65@@1.65,2.10@@2.10,2.24@@2.24,2.15@@2.15,2.93@@2.93,?,256128.0,1048576.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.17@@2.17,2.04@@2.04,1.91@@1.91,2.25@@2.25,2.35@@2.35,2.42@@2.42,2.04@@2.04,8190735360.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,2.20@@2.20,2.15@@2.15,1.60@@1.60,2.39@@2.39,2.40@@2.40,2.40@@2.40,2.22@@2.22,32207337984.0,100352.0,131072.0,✓,✗
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,2.22@@2.22,2.33@@2.33,1.92@@1.92,2.02@@2.02,2.13@@2.13,2.46@@2.46,2.49@@2.49,22637328384.0,128000.0,32768.0,✓,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.25@@2.25,2.18@@2.18,1.93@@1.93,2.39@@2.39,2.39@@2.39,2.39@@2.39,2.20@@2.20,?,256128.0,1048576.0,✓,✗
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.26@@2.26,2.42@@2.42,1.92@@1.92,2.30@@2.30,2.22@@2.22,2.57@@2.57,2.11@@2.11,32233522176.0,100278.0,65536.0,✗,✗
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.28@@2.28,2.49@@2.49,1.98@@1.98,2.29@@2.29,2.42@@2.42,2.39@@2.39,2.12@@2.12,7849978192.0,262400.0,8192.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.29@@2.29,2.19@@2.19,2.06@@2.06,2.37@@2.37,2.36@@2.36,2.52@@2.52,2.22@@2.22,4022468096.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,2.30@@2.30,2.27@@2.27,2.17@@2.17,2.50@@2.50,2.26@@2.26,2.42@@2.42,2.18@@2.18,32234279936.0,100352.0,4096.0,✗,✗
<a href='https://hf.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0</a>,🧠,2.32@@2.32,2.34@@2.34,1.99@@1.99,2.29@@2.29,2.44@@2.44,2.66@@2.66,2.19@@2.19,10731524096.0,32000.0,4096.0,✓,✗
