Model,Type,Rank,European Values,Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/dutch#dbrd'>dbrd</a>,<a href='https://euroeval.com/datasets/dutch#conll-nl'>conll_nl</a>,<a href='https://euroeval.com/datasets/dutch#scala-nl'>scala_nl</a>,<a href='https://euroeval.com/datasets/dutch#squad-nl'>squad_nl</a>,<a href='https://euroeval.com/datasets/dutch#wiki-lingua-nl'>wiki_lingua_nl</a>,<a href='https://euroeval.com/datasets/dutch#mmlu-nl'>mmlu_nl</a>,<a href='https://euroeval.com/datasets/dutch#hellaswag-nl'>hellaswag_nl</a>,<a href='https://euroeval.com/datasets/dutch#duidelijke-taal'>duidelijke_taal</a>,dbrd_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version,duidelijke_taal_version
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.65@@1.65,?,24011361280.0,131072.0,?,✓,✗,88.07 ± 5.36 / 93.62 ± 3.26@@88.07,74.18 ± 1.99 / 64.14 ± 2.24@@74.18,54.28 ± 3.10 / 76.18 ± 1.71@@54.28,81.75 ± 1.17 / 66.04 ± 1.40@@81.75,68.59 ± 1.01 / 23.28 ± 1.42@@68.59,63.55 ± 0.87 / 72.61 ± 0.67@@63.55,54.45 ± 2.03 / 64.66 ± 1.76@@54.45,53.50 ± 1.81 / 59.74 ± 5.76@@53.50,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.66@@1.66,?,14768307200.0,151936.0,40960.0,✓,✗,91.83 ± 0.52 / 95.90 ± 0.26@@91.83,62.77 ± 1.78 / 44.49 ± 2.24@@62.77,58.08 ± 0.99 / 78.24 ± 0.74@@58.08,80.42 ± 0.60 / 65.40 ± 0.95@@80.42,66.48 ± 0.20 / 16.58 ± 0.32@@66.48,60.62 ± 0.76 / 70.44 ± 0.58@@60.62,66.04 ± 1.07 / 74.16 ± 0.81@@66.04,56.34 ± 0.76 / 70.11 ± 1.07@@56.34,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.68@@1.68,?,27432406640.0,262144.0,?,✓,✗,92.47 ± 0.65 / 96.21 ± 0.34@@92.47,60.76 ± 1.75 / 50.14 ± 2.27@@60.76,63.17 ± 1.48 / 81.21 ± 0.88@@63.17,75.07 ± 0.83 / 56.61 ± 0.86@@75.07,65.54 ± 0.13 / 16.50 ± 0.20@@65.54,64.07 ± 0.83 / 73.00 ± 0.62@@64.07,71.00 ± 0.89 / 78.05 ± 0.65@@71.00,52.06 ± 1.63 / 67.77 ± 1.72@@52.06,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,1.69@@1.69,?,30532122624.0,151936.0,262144.0,✓,✗,91.54 ± 0.51 / 95.73 ± 0.27@@91.54,60.82 ± 1.05 / 37.65 ± 2.30@@60.82,58.10 ± 1.17 / 78.71 ± 0.67@@58.10,76.26 ± 0.45 / 58.77 ± 0.46@@76.26,65.60 ± 0.12 / 14.89 ± 0.17@@65.60,68.71 ± 0.94 / 76.52 ± 0.71@@68.71,73.83 ± 0.79 / 80.26 ± 0.60@@73.83,51.11 ± 1.28 / 61.52 ± 4.06@@51.11,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.70@@1.70,?,?,100256.0,272000.0,✓,✗,92.12 ± 1.71 / 96.04 ± 0.86@@92.12,51.34 ± 3.27 / 30.07 ± 2.18@@51.34,60.97 ± 3.18 / 77.92 ± 2.04@@60.97,77.47 ± 0.73 / 53.04 ± 1.36@@77.47,64.94 ± 0.09 / 13.35 ± 0.21@@64.94,83.72 ± 1.50 / 87.81 ± 1.12@@83.72,65.06 ± 2.63 / 73.87 ± 1.88@@65.06,50.61 ± 1.65 / 61.21 ± 5.73@@50.61,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.71@@1.71,?,32759790592.0,151665.0,131072.0,✓,✗,90.96 ± 0.68 / 95.38 ± 0.36@@90.96,71.74 ± 1.35 / 55.08 ± 2.94@@71.74,64.13 ± 1.30 / 81.77 ± 0.76@@64.13,80.40 ± 0.50 / 60.94 ± 1.29@@80.40,66.04 ± 0.24 / 16.67 ± 0.38@@66.04,76.62 ± 0.66 / 82.46 ± 0.50@@76.62,80.72 ± 0.93 / 85.42 ± 0.71@@80.72,31.46 ± 0.50 / 43.58 ± 0.38@@31.46,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.75@@1.75,?,?,100256.0,272000.0,✓,✗,86.42 ± 1.77 / 93.11 ± 0.90@@86.42,64.69 ± 3.19 / 52.31 ± 2.84@@64.69,59.72 ± 2.67 / 77.48 ± 1.35@@59.72,71.22 ± 0.42 / 46.68 ± 0.97@@71.22,64.54 ± 0.08 / 11.53 ± 0.12@@64.54,79.11 ± 1.63 / 84.22 ± 1.25@@79.11,47.57 ± 2.61 / 60.59 ± 1.90@@47.57,52.89 ± 1.26 / 63.25 ± 4.89@@52.89,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.75@@1.75,9.81,?,?,200000.0,✓,✗,91.63 ± 1.37 / 95.77 ± 0.70@@91.63,58.06 ± 3.49 / 39.33 ± 2.68@@58.06,63.67 ± 2.98 / 80.71 ± 1.50@@63.67,74.37 ± 0.90 / 46.33 ± 1.19@@74.37,64.11 ± 0.10 / 13.32 ± 0.24@@64.11,67.71 ± 2.83 / 75.86 ± 2.13@@67.71,69.26 ± 2.08 / 76.88 ± 1.63@@69.26,49.70 ± 1.58 / 60.48 ± 5.37@@49.70,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.79@@1.79,?,12187325040.0,262144.0,?,✓,✗,90.66 ± 1.79 / 95.14 ± 0.99@@90.66,62.71 ± 2.14 / 47.31 ± 2.06@@62.71,53.41 ± 2.49 / 75.52 ± 1.49@@53.41,76.51 ± 3.33 / 63.72 ± 3.13@@76.51,68.09 ± 1.38 / 22.85 ± 2.28@@68.09,58.68 ± 0.84 / 68.83 ± 0.62@@58.68,46.25 ± 2.22 / 58.22 ± 1.94@@46.25,54.44 ± 1.04 / 68.81 ± 1.55@@54.44,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.80@@1.80,?,?,256128.0,1048576.0,✓,✗,90.79 ± 1.57 / 95.37 ± 0.81@@90.79,56.26 ± 3.96 / 39.55 ± 2.58@@56.26,64.25 ± 2.30 / 81.73 ± 1.30@@64.25,73.67 ± 1.23 / 50.33 ± 1.47@@73.67,64.22 ± 0.09 / 11.93 ± 0.16@@64.22,76.50 ± 1.53 / 82.34 ± 1.17@@76.50,56.54 ± 2.13 / 67.34 ± 1.54@@56.54,47.17 ± 0.82 / 60.88 ± 4.28@@47.17,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
