<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=11 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/bosnian#mms-bs'>mms_bs</a>,<a href='https://euroeval.com/datasets/bosnian#wikiann-bs'>wikiann_bs</a>,<a href='https://euroeval.com/datasets/bosnian#multi-wiki-qa-bs'>multi_wiki_qa_bs</a>,<a href='https://euroeval.com/datasets/bosnian#lr-sum-bs'>lr_sum_bs</a>,mms_bs_version,wikiann_bs_version,multi_wiki_qa_bs_version,lr_sum_bs_version
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,1.83@@1.83,4022468096.0,151936.0,262144.0,✗,✗,38.42 ± 1.27 / 57.25 ± 1.00@@38.42,63.11 ± 1.72 / 63.11 ± 1.72@@63.11,69.09 ± 2.67 / 47.56 ± 3.50@@69.09,29.11 ± 1.19 / 32.26 ± 1.66@@29.11,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500
"<a href='https://docs.x.ai/developers/models/grok-4.20-beta-0309-reasoning'>xai/grok-4.20-beta-0309-reasoning (zero-shot, val)</a>",📝,1.84@@1.84,?,?,131072.0,✓,✗,46.86 ± 1.49 / 62.27 ± 0.95@@46.86,76.50 ± 1.01 / 76.50 ± 1.01@@76.50,34.02 ± 0.49 / 8.71 ± 0.54@@34.02,29.61 ± 0.10 / 34.58 ± 0.12@@29.61,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,1.84@@1.84,4022468096.0,151936.0,40960.0,✓,✗,37.26 ± 1.55 / 58.39 ± 1.04@@37.26,59.18 ± 1.82 / 59.18 ± 1.82@@59.18,64.19 ± 1.84 / 42.08 ± 2.35@@64.19,30.91 ± 0.13 / 35.46 ± 0.18@@30.91,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.84@@1.84,12187325040.0,262144.0,8192.0,✓,✗,36.16 ± 1.88 / 56.09 ± 1.77@@36.16,67.57 ± 2.72 / 67.57 ± 2.72@@67.57,73.53 ± 2.76 / 55.68 ± 4.25@@73.53,26.37 ± 2.32 / 28.16 ± 3.39@@26.37,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,1.88@@1.88,7241748480.0,32002.0,32768.0,✗,✗,29.30 ± 1.32 / 49.26 ± 1.76@@29.30,56.22 ± 3.00 / 56.22 ± 3.00@@56.22,69.83 ± 0.79 / 47.34 ± 2.01@@69.83,32.23 ± 0.71 / 35.96 ± 0.97@@32.23,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,1.91@@1.91,9653100528.0,248044.0,8192.0,✓,✗,47.79 ± 4.76 / 62.28 ± 2.94@@47.79,67.00 ± 2.51 / 67.00 ± 2.51@@67.00,39.62 ± 2.10 / 26.60 ± 1.94@@39.62,29.22 ± 0.67 / 33.47 ± 1.05@@29.22,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,1.96@@1.96,32233522176.0,100278.0,65536.0,✗,✗,31.89 ± 1.38 / 54.37 ± 0.91@@31.89,61.26 ± 1.52 / 61.26 ± 1.52@@61.26,66.71 ± 1.87 / 43.72 ± 2.08@@66.71,28.45 ± 0.17 / 32.00 ± 0.47@@28.45,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,1.96@@1.96,32233522176.0,100278.0,65536.0,✗,✗,34.11 ± 1.54 / 55.93 ± 1.01@@34.11,59.71 ± 1.31 / 59.71 ± 1.31@@59.71,67.92 ± 1.52 / 43.13 ± 1.61@@67.92,28.33 ± 0.26 / 31.97 ± 0.59@@28.33,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500
<a href='https://hf.co/Qwen/Qwen3.5-2B-Base'>Qwen/Qwen3.5-2B-Base (val)</a>,📝,1.97@@1.97,2274067232.0,248044.0,8192.0,✓,✗,32.00 ± 4.82 / 44.35 ± 5.62@@32.00,58.86 ± 3.84 / 58.86 ± 3.84@@58.86,63.39 ± 1.39 / 39.46 ± 2.01@@63.39,30.15 ± 0.49 / 35.16 ± 0.60@@30.15,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.98@@1.98,32759790592.0,151665.0,131072.0,✓,✗,43.99 ± 1.65 / 62.41 ± 1.08@@43.99,68.83 ± 2.05 / 68.83 ± 2.05@@68.83,28.71 ± 1.52 / 0.04 ± 0.05@@28.71,30.84 ± 0.19 / 34.85 ± 0.53@@30.84,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
