<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=11 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/bosnian#mms-bs'>mms_bs</a>,<a href='https://euroeval.com/datasets/bosnian#wikiann-bs'>wikiann_bs</a>,<a href='https://euroeval.com/datasets/bosnian#multi-wiki-qa-bs'>multi_wiki_qa_bs</a>,<a href='https://euroeval.com/datasets/bosnian#lr-sum-bs'>lr_sum_bs</a>,mms_bs_version,wikiann_bs_version,multi_wiki_qa_bs_version,lr_sum_bs_version
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.64@@3.64,2611528704.0,128000.0,4096.0,✓,✗,1.41 ± 1.38 / 19.14 ± 2.20@@1.41,15.83 ± 4.85 / 15.83 ± 4.85@@15.83,41.48 ± 2.25 / 25.26 ± 1.74@@41.48,21.05 ± 2.22 / 22.47 ± 3.00@@21.05,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview</a>,🧠,3.74@@3.74,3211926528.0,65536.0,4096.0,✓,✗,0.00 ± 0.00 / 16.75 ± 0.30@@0.00,24.88 ± 4.23 / 24.88 ± 4.23@@24.88,35.62 ± 2.45 / 24.02 ± 2.18@@35.62,17.89 ± 3.02 / 19.73 ± 3.48@@17.89,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,3.83@@3.83,354483968.0,65536.0,128000.0,✗,✗,4.14 ± 2.74 / 28.75 ± 2.35@@4.14,13.97 ± 2.47 / 13.97 ± 2.47@@13.97,6.22 ± 1.54 / 1.10 ± 0.66@@6.22,25.13 ± 0.56 / 28.92 ± 0.65@@25.13,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct</a>,📝,3.86@@3.86,361821120.0,49152.0,8192.0,✓,✗,-0.35 ± 1.81 / 20.93 ± 2.35@@-0.35,30.48 ± 3.37 / 30.48 ± 3.37@@30.48,9.67 ± 1.18 / 0.00 ± 0.00@@9.67,21.98 ± 1.03 / 24.54 ± 1.31@@21.98,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,4.02@@4.02,268098176.0,262144.0,32768.0,✓,✗,3.05 ± 1.80 / 19.89 ± 3.57@@3.05,24.11 ± 1.57 / 24.11 ± 1.57@@24.11,7.23 ± 1.12 / 1.87 ± 0.63@@7.23,20.18 ± 1.55 / 23.22 ± 2.06@@20.18,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,4.03@@4.03,134515008.0,49152.0,8192.0,✓,✗,5.96 ± 3.21 / 25.99 ± 3.98@@5.96,15.82 ± 4.16 / 15.82 ± 4.16@@15.82,3.77 ± 0.85 / 0.00 ± 0.00@@3.77,19.09 ± 1.96 / 21.20 ± 2.31@@19.09,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,4.06@@4.06,353424384.0,65536.0,2048.0,✓,✗,4.68 ± 3.29 / 25.93 ± 4.98@@4.68,28.62 ± 1.97 / 28.62 ± 1.97@@28.62,6.54 ± 1.60 / 3.11 ± 0.92@@6.54,16.95 ± 1.05 / 18.09 ± 1.42@@16.95,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,4.08@@4.08,361821120.0,49152.0,8192.0,✓,✗,-2.19 ± 1.83 / 19.31 ± 2.02@@-2.19,19.77 ± 2.83 / 19.77 ± 2.83@@19.77,13.11 ± 1.96 / 5.55 ± 1.16@@13.11,19.51 ± 1.51 / 20.98 ± 1.81@@19.51,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct</a>,📝,4.08@@4.08,107908288.0,65536.0,262144.0,✓,✗,2.45 ± 1.38 / 23.77 ± 3.07@@2.45,18.38 ± 2.08 / 18.38 ± 2.08@@18.38,6.85 ± 0.90 / 1.48 ± 0.48@@6.85,19.65 ± 0.71 / 22.22 ± 0.91@@19.65,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.14.0.dev0@@161400
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,4.13@@4.13,134515008.0,49152.0,8192.0,✓,✗,0.65 ± 1.50 / 18.82 ± 2.17@@0.65,17.85 ± 1.80 / 17.85 ± 1.80@@17.85,5.26 ± 0.98 / 1.69 ± 0.56@@5.26,20.24 ± 0.62 / 22.33 ± 0.89@@20.24,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base</a>,🧠,4.38@@4.38,107908288.0,65536.0,262144.0,✓,✗,4.18 ± 2.97 / 20.47 ± 3.36@@4.18,15.51 ± 3.46 / 15.51 ± 3.46@@15.51,7.72 ± 1.68 / 2.86 ± 0.87@@7.72,14.83 ± 1.05 / 16.30 ± 1.30@@14.83,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.14.0.dev0@@161400
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking</a>,📝,4.82@@4.82,320956992.0,65536.0,4096.0,✓,✗,-0.69 ± 2.01 / 26.42 ± 2.17@@-0.69,3.78 ± 1.22 / 3.78 ± 1.22@@3.78,1.78 ± 0.31 / 0.00 ± 0.00@@1.78,12.41 ± 0.51 / 14.82 ± 0.50@@12.41,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.14.0.dev0@@161400
<a href='https://hf.co/PleIAs/Monad'>PleIAs/Monad</a>,🧠,5.22@@5.22,56656128.0,8192.0,2048.0,✓,✗,0.24 ± 2.02 / 18.47 ± 1.60@@0.24,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,0.94 ± 0.15 / 0.00 ± 0.00@@0.94,5.71 ± 0.14 / 6.05 ± 0.15@@5.71,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.14.0.dev0@@161400
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct</a>,📝,-@@100,4757260288.0,32000.0,32768.0,✓,✗,34.79 ± 1.28 / 56.18 ± 1.05@@34.79,56.65 ± 0.92 / 56.65 ± 0.92@@56.65,58.45 ± 2.31 / 34.16 ± 3.10@@58.45,-@@-1,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,-@@0
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,-@@100,11168796672.0,32128.0,32768.0,✓,✗,46.67 ± 0.95 / 64.02 ± 0.92@@46.67,66.13 ± 1.62 / 66.13 ± 1.62@@66.13,30.89 ± 2.32 / 0.13 ± 0.11@@30.89,-@@-1,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,-@@0
<a href='https://hf.co/speakleash/Bielik-11B-v3-Base-20250730'>speakleash/Bielik-11B-v3-Base-20250730</a>,🧠,-@@100,11168796672.0,32128.0,32768.0,✓,✗,28.98 ± 2.31 / 42.14 ± 2.66@@28.98,65.71 ± 2.10 / 65.71 ± 2.10@@65.71,73.66 ± 2.60 / 52.69 ± 4.20@@73.66,-@@-1,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,-@@0
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct</a>,📝,-@@100,11168796672.0,32128.0,32768.0,✓,✗,41.60 ± 1.45 / 59.17 ± 0.87@@41.60,63.03 ± 1.79 / 63.03 ± 1.79@@63.03,30.15 ± 1.86 / 0.13 ± 0.11@@30.15,-@@-1,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,-@@0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct</a>,📝,-@@100,11168796672.0,32128.0,32768.0,✓,✓,40.79 ± 1.68 / 60.47 ± 1.10@@40.79,62.87 ± 2.40 / 62.87 ± 2.40@@62.87,72.56 ± 1.83 / 48.26 ± 3.44@@72.56,-@@-1,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,-@@0
<a href='https://hf.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,-@@100,470927360.0,501153.0,512.0,✓,✗,39.55 ± 1.90 / 58.93 ± 1.18@@39.55,84.73 ± 0.76 / 84.73 ± 0.76@@84.73,32.82 ± 1.04 / 25.76 ± 1.15@@32.82,-@@-1,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0
<a href='https://hf.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,-@@100,278225673.0,251000.0,512.0,✓,✗,20.25 ± 9.01 / 40.45 ± 9.07@@20.25,78.51 ± 1.93 / 78.51 ± 1.93@@78.51,21.16 ± 1.31 / 16.04 ± 0.73@@21.16,-@@-1,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0
<a href='https://hf.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2'>sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2</a>,🔍,-@@100,117654272.0,250037.0,512.0,✓,✗,27.47 ± 6.36 / 48.87 ± 6.71@@27.47,72.71 ± 0.82 / 72.71 ± 0.82@@72.71,2.40 ± 1.98 / 1.43 ± 1.24@@2.40,-@@-1,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0
<a href='https://hf.co/swiss-ai/Apertus-8B-2509'>swiss-ai/Apertus-8B-2509</a>,🧠,-@@100,8053338176.0,131072.0,65536.0,✓,✗,34.31 ± 0.66 / 46.30 ± 1.46@@34.31,44.68 ± 4.86 / 44.68 ± 4.86@@44.68,61.43 ± 2.09 / 34.46 ± 2.22@@61.43,-@@-1,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,-@@0
<a href='https://hf.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0</a>,🧠,-@@100,10731524096.0,32000.0,4096.0,✓,✗,26.15 ± 1.32 / 37.46 ± 1.07@@26.15,62.93 ± 2.61 / 62.93 ± 2.61@@62.93,73.79 ± 2.18 / 56.67 ± 3.51@@73.79,-@@-1,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,-@@0
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509</a>,📝,-@@100,8053338176.0,131072.0,65536.0,✗,✗,40.05 ± 2.09 / 53.48 ± 4.36@@40.05,55.06 ± 2.85 / 55.06 ± 2.85@@55.06,18.13 ± 2.21 / 0.02 ± 0.04@@18.13,-@@-1,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,-@@0
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct</a>,🤔,-@@100,7504568320.0,128167.0,32768.0,✓,✗,22.45 ± 1.56 / 48.25 ± 0.98@@22.45,49.53 ± 1.72 / 49.53 ± 1.72@@49.53,39.27 ± 0.82 / 0.00 ± 0.00@@39.27,-@@-1,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,-@@0
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512</a>,🧠,-@@100,4251743232.0,131072.0,8192.0,✓,✗,35.79 ± 1.08 / 55.70 ± 1.36@@35.79,58.99 ± 3.04 / 58.99 ± 3.04@@58.99,68.76 ± 1.76 / 48.35 ± 2.05@@68.76,-@@-1,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,-@@0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking</a>,📝,-@@100,31577937344.0,131072.0,262144.0,✓,✗,31.82 ± 1.75 / 52.00 ± 2.35@@31.82,61.68 ± 1.57 / 61.68 ± 1.57@@61.68,67.90 ± 1.15 / 44.86 ± 1.35@@67.90,-@@-1,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000,-@@0
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,-@@100,?,128000.0,4096.0,✓,✗,0.60 ± 0.79 / 16.88 ± 0.22@@0.60,60.56 ± 2.51 / 60.56 ± 2.51@@60.56,69.02 ± 1.42 / 49.75 ± 2.45@@69.02,-@@-1,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,-@@0
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,-@@100,70599864480.0,131072.0,65536.0,✓,✗,33.95 ± 2.09 / 53.55 ± 2.03@@33.95,61.50 ± 2.25 / 61.50 ± 2.25@@61.50,70.73 ± 2.42 / 49.18 ± 4.05@@70.73,-@@-1,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,-@@0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,-@@100,22637328384.0,128000.0,4096.0,✓,✗,39.30 ± 1.61 / 55.97 ± 1.80@@39.30,59.65 ± 1.75 / 59.65 ± 1.75@@59.65,68.44 ± 1.44 / 45.28 ± 2.31@@68.44,-@@-1,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,-@@0
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,-@@100,70599864480.0,131072.0,65536.0,✗,✗,42.51 ± 1.51 / 60.30 ± 2.03@@42.51,60.01 ± 2.27 / 60.01 ± 2.27@@60.01,50.97 ± 3.16 / 26.36 ± 3.25@@50.97,-@@-1,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0
<a href='https://hf.co/AI-Sweden-Models/ModernBERT-large'>AI-Sweden-Models/ModernBERT-large</a>,🔍,-@@100,395881664.0,50368.0,8192.0,✓,✗,12.04 ± 2.18 / 39.03 ± 2.42@@12.04,49.43 ± 1.68 / 49.43 ± 1.68@@49.43,30.94 ± 1.18 / 24.33 ± 1.31@@30.94,-@@-1,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0
fresh-xlm-roberta-base,🔍,-@@100,278885778.0,250002.0,512.0,✓,✗,6.67 ± 2.91 / 25.30 ± 5.45@@6.67,22.05 ± 3.60 / 22.05 ± 3.60@@22.05,0.03 ± 0.06 / 0.00 ± 0.00@@0.03,-@@-1,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0
<a href='https://hf.co/lapa-llm/lapa-12b-pt'>lapa-llm/lapa-12b-pt</a>,📝,-@@100,12187325040.0,262144.0,8192.0,✓,✗,1.73 ± 1.62 / 17.99 ± 1.02@@1.73,61.52 ± 2.61 / 61.52 ± 2.61@@61.52,1.70 ± 0.32 / 0.00 ± 0.00@@1.70,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0
<a href='https://hf.co/answerdotai/ModernBERT-base'>answerdotai/ModernBERT-base</a>,🔍,-@@100,149655232.0,50368.0,8192.0,✓,✗,13.38 ± 2.63 / 41.06 ± 2.03@@13.38,56.42 ± 2.21 / 56.42 ± 2.21@@56.42,21.15 ± 2.03 / 14.79 ± 1.77@@21.15,-@@-1,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think</a>,🤔,-@@100,32233522176.0,100278.0,65536.0,✗,✗,37.11 ± 1.22 / 58.12 ± 0.83@@37.11,65.94 ± 2.48 / 65.94 ± 2.48@@65.94,63.19 ± 0.91 / 42.41 ± 1.18@@63.19,-@@-1,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,-@@0
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think</a>,🤔,-@@100,7298011136.0,100278.0,65536.0,✗,✗,31.86 ± 1.66 / 54.17 ± 1.21@@31.86,61.19 ± 1.03 / 61.19 ± 1.03@@61.19,59.36 ± 1.13 / 37.47 ± 0.73@@59.36,-@@-1,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,-@@100,32234279936.0,100352.0,4096.0,✗,✗,36.17 ± 0.86 / 55.83 ± 1.02@@36.17,62.17 ± 1.62 / 62.17 ± 1.62@@62.17,62.38 ± 0.66 / 28.26 ± 0.76@@62.38,-@@-1,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,-@@0
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama</a>,🧠,-@@100,7799574528.0,100096.0,4096.0,✓,✗,0.99 ± 1.45 / 16.99 ± 0.32@@0.99,51.10 ± 2.19 / 51.10 ± 2.19@@51.10,54.64 ± 2.68 / 38.50 ± 2.62@@54.64,-@@-1,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,-@@0
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,-@@100,72706203648.0,152064.0,32768.0,✓,✗,44.21 ± 1.35 / 62.64 ± 0.93@@44.21,67.00 ± 1.89 / 67.00 ± 1.89@@67.00,28.14 ± 1.55 / 1.46 ± 0.66@@28.14,-@@-1,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct</a>,📝,-@@100,1543714304.0,151936.0,32768.0,✓,✗,29.71 ± 1.14 / 51.19 ± 1.38@@29.71,47.58 ± 1.10 / 47.58 ± 1.10@@47.58,28.08 ± 1.24 / 0.85 ± 0.32@@28.08,-@@-1,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,-@@0
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6</a>,🤔,-@@100,320956992.0,65536.0,4096.0,✓,✗,0.00 ± 0.00 / 16.75 ± 0.30@@0.00,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-@@-1,-@@-1,16.10.1.dev0@@161001,16.7.1@@160701,-@@0,-@@0
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#thinking</a>,🤔,-@@100,320956992.0,65536.0,4096.0,✓,✗,0.00 ± 0.00 / 16.75 ± 0.30@@0.00,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-@@-1,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,-@@0
<a href='https://hf.co/answerdotai/ModernBERT-large'>answerdotai/ModernBERT-large</a>,🔍,-@@100,395881664.0,50368.0,8192.0,✓,✗,8.96 ± 2.31 / 37.54 ± 2.10@@8.96,55.08 ± 2.15 / 55.08 ± 2.15@@55.08,22.02 ± 1.10 / 15.65 ± 1.24@@22.02,-@@-1,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Thinking'>LiquidAI/LFM2.5-1.2B-Thinking</a>,🤔,-@@100,1170340608.0,65536.0,128000.0,✗,✗,11.10 ± 2.49 / 39.69 ± 1.70@@11.10,8.16 ± 1.24 / 8.16 ± 1.24@@8.16,3.23 ± 0.30 / 0.00 ± 0.00@@3.23,-@@-1,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,-@@0
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Base'>LiquidAI/LFM2.5-1.2B-Base</a>,📝,-@@100,1170340608.0,65536.0,128000.0,✗,✗,6.28 ± 3.10 / 29.78 ± 4.46@@6.28,28.63 ± 6.15 / 28.63 ± 6.15@@28.63,9.49 ± 0.58 / 0.00 ± 0.00@@9.49,-@@-1,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,-@@0
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B</a>,📝,-@@100,2569272320.0,65536.0,128000.0,✗,✗,21.13 ± 1.37 / 41.03 ± 1.76@@21.13,52.19 ± 1.75 / 52.19 ± 1.75@@52.19,24.86 ± 2.79 / 1.06 ± 0.63@@24.86,-@@-1,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,-@@0
<a href='https://hf.co/INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0'>INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0</a>,📝,-@@100,12187325040.0,262144.0,8192.0,✗,✗,46.28 ± 1.84 / 63.64 ± 1.29@@46.28,68.88 ± 2.51 / 68.88 ± 2.51@@68.88,21.91 ± 1.14 / 0.06 ± 0.08@@21.91,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0
<a href='https://hf.co/Geotrend/distilbert-base-25lang-cased'>Geotrend/distilbert-base-25lang-cased</a>,🔍,-@@100,108867577.0,84985.0,512.0,✓,✗,19.74 ± 4.12 / 43.44 ± 5.89@@19.74,80.19 ± 0.92 / 80.19 ± 0.92@@80.19,6.34 ± 1.09 / 2.58 ± 1.06@@6.34,-@@-1,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,-@@100,561192082.0,250002.0,512.0,✓,✗,17.82 ± 10.01 / 37.68 ± 10.00@@17.82,83.89 ± 0.84 / 83.89 ± 0.84@@83.89,36.22 ± 1.21 / 28.63 ± 1.14@@36.22,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0
<a href='https://hf.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,-@@100,93990500.0,65636.0,512.0,✓,✗,17.32 ± 1.59 / 42.76 ± 1.53@@17.32,63.38 ± 1.85 / 63.38 ± 1.85@@63.38,12.34 ± 3.68 / 8.69 ± 3.39@@12.34,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0
<a href='https://hf.co/EuroBERT/EuroBERT-610m'>EuroBERT/EuroBERT-610m</a>,🔍,-@@100,755625600.0,128256.0,8192.0,✓,✗,13.15 ± 3.07 / 36.02 ± 4.23@@13.15,47.79 ± 5.54 / 47.82 ± 5.55@@47.79,30.96 ± 1.18 / 23.82 ± 1.43@@30.96,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0
<a href='https://hf.co/EuroBERT/EuroBERT-210m'>EuroBERT/EuroBERT-210m</a>,🔍,-@@100,310266624.0,128256.0,8192.0,✓,✗,14.46 ± 1.37 / 39.54 ± 2.03@@14.46,48.60 ± 5.36 / 48.61 ± 5.35@@48.60,25.41 ± 1.52 / 18.97 ± 1.40@@25.41,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0
<a href='https://hf.co/BSC-LT/ALIA-40b'>BSC-LT/ALIA-40b</a>,🧠,-@@100,40433885184.0,256000.0,32768.0,✓,✗,18.11 ± 2.08 / 28.26 ± 2.29@@18.11,61.97 ± 2.37 / 61.97 ± 2.37@@61.97,63.24 ± 2.15 / 39.05 ± 2.38@@63.24,-@@-1,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Instruct'>LiquidAI/LFM2.5-1.2B-Instruct</a>,📝,-@@100,1170340608.0,65536.0,128000.0,✗,✗,5.80 ± 2.34 / 24.97 ± 3.22@@5.80,23.33 ± 1.12 / 23.33 ± 1.12@@23.33,10.06 ± 1.60 / 0.23 ± 0.21@@10.06,-@@-1,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,-@@0
<a href='https://hf.co/arcee-ai/AFM-4.5B-Base'>arcee-ai/AFM-4.5B-Base</a>,🧠,-@@100,4619184640.0,128004.0,65536.0,✓,✗,27.40 ± 1.34 / 42.02 ± 2.56@@27.40,45.96 ± 2.41 / 45.96 ± 2.41@@45.96,47.01 ± 2.62 / 31.50 ± 1.94@@47.01,-@@-1,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,-@@0
<a href='https://hf.co/arcee-ai/AFM-4.5B'>arcee-ai/AFM-4.5B</a>,📝,-@@100,4619189760.0,128005.0,65536.0,✓,✗,26.92 ± 2.14 / 50.72 ± 1.58@@26.92,49.67 ± 1.51 / 49.67 ± 1.51@@49.67,23.09 ± 0.85 / 0.17 ± 0.09@@23.09,-@@-1,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,-@@0
