<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,<a href='https://euroeval.com/datasets/hungarian#husst'>husst</a>,<a href='https://euroeval.com/datasets/hungarian#szeged-ner'>szeged_ner</a>,<a href='https://euroeval.com/datasets/hungarian#scala-hu'>scala_hu</a>,<a href='https://euroeval.com/datasets/hungarian#multi-wiki-qa-hu'>multi_wiki_qa_hu</a>,husst_version,szeged_ner_version,scala_hu_version,multi_wiki_qa_hu_version
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.86@@1.86,?,?,1047576.0,✓,✗,51.06 ± 2.52 / 68.13 ± 1.60@@51.06,49.68 ± 2.34 / 32.96 ± 1.72@@49.68,52.22 ± 3.13 / 73.97 ± 1.72@@52.22,65.11 ± 1.15 / 40.57 ± 2.29@@65.11,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,1.87@@1.87,4022468096.0,151936.0,40960.0,✓,✗,55.76 ± 1.49 / 67.76 ± 1.16@@55.76,63.32 ± 1.55 / 49.69 ± 3.59@@63.32,31.35 ± 1.16 / 64.96 ± 0.72@@31.35,60.81 ± 2.11 / 43.04 ± 2.65@@60.81,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,1.99@@1.99,8030326784.0,128264.0,131072.0,✓,✗,56.37 ± 1.30 / 66.87 ± 1.06@@56.37,64.06 ± 1.56 / 63.52 ± 1.31@@64.06,15.66 ± 1.46 / 39.18 ± 1.08@@15.66,63.76 ± 2.43 / 46.34 ± 2.60@@63.76,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,2.03@@2.03,32759790592.0,151665.0,131072.0,✓,✗,59.72 ± 0.91 / 68.84 ± 1.29@@59.72,77.44 ± 0.73 / 70.87 ± 1.96@@77.44,28.03 ± 2.99 / 55.61 ± 2.85@@28.03,29.81 ± 0.70 / 0.02 ± 0.04@@29.81,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,2.04@@2.04,8030261248.0,128256.0,131072.0,✓,✗,56.72 ± 1.40 / 65.75 ± 1.81@@56.72,59.58 ± 2.43 / 56.03 ± 2.01@@59.58,11.78 ± 5.81 / 42.83 ± 6.13@@11.78,64.60 ± 2.05 / 46.83 ± 2.34@@64.60,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.07@@2.07,?,256128.0,1048576.0,✓,✗,48.69 ± 2.39 / 62.85 ± 1.73@@48.69,48.69 ± 2.66 / 28.63 ± 1.51@@48.69,40.94 ± 2.35 / 63.53 ± 1.64@@40.94,61.43 ± 1.10 / 39.66 ± 1.88@@61.43,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.14@@2.14,8030261248.0,128256.0,131072.0,✓,✗,59.88 ± 1.21 / 71.82 ± 1.19@@59.88,63.46 ± 1.63 / 57.62 ± 2.28@@63.46,27.61 ± 2.00 / 57.93 ± 1.86@@27.61,33.18 ± 4.48 / 4.38 ± 2.66@@33.18,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,2.14@@2.14,14765947904.0,151665.0,131072.0,✓,✗,58.29 ± 1.25 / 67.83 ± 1.21@@58.29,72.19 ± 0.98 / 68.24 ± 1.96@@72.19,26.71 ± 3.10 / 55.72 ± 3.03@@26.71,26.88 ± 0.74 / 0.00 ± 0.00@@26.88,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,2.32@@2.32,8030261248.0,128256.0,131072.0,✓,✗,58.80 ± 1.12 / 66.93 ± 1.53@@58.80,67.71 ± 1.70 / 63.45 ± 1.96@@67.71,18.39 ± 1.36 / 45.49 ± 1.40@@18.39,24.29 ± 2.39 / 0.41 ± 0.20@@24.29,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.32@@2.32,9152319488.0,128000.0,4096.0,✓,✗,61.34 ± 1.86 / 72.91 ± 1.05@@61.34,44.66 ± 1.96 / 42.26 ± 2.04@@44.66,3.68 ± 3.39 / 34.91 ± 2.08@@3.68,64.75 ± 2.72 / 47.77 ± 3.64@@64.75,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
