<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Norwegian,Swedish
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,1.97@@1.97,39.79,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,1.82@@1.82,2.15@@2.15,1.94@@1.94
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,1.97@@1.97,7.47,9241705984.0,256000.0,8192.0,✗,✗,(✓),✗,1.85@@1.85,2.08@@2.08,1.99@@1.99
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,1.98@@1.98,24.5,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,1.89@@1.89,2.25@@2.25,1.80@@1.80
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.11@@2.11,4.43,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,1.99@@1.99,2.33@@2.33,2.02@@2.02
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,2.13@@2.13,6.24,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,2.01@@2.01,2.35@@2.35,2.02@@2.02
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16 (val)</a>,🧠,2.13@@2.13,N/A,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,1.97@@1.97,2.36@@2.36,2.05@@2.05
<a href='https://hf.co/Qwen/Qwen3.5-9B-Base'>Qwen/Qwen3.5-9B-Base (val)</a>,🧠,2.16@@2.16,N/A,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,2.15@@2.15,2.21@@2.21,2.13@@2.13
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,2.17@@2.17,16.95,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,1.97@@1.97,2.31@@2.31,2.22@@2.22
<a href='https://hf.co/bineric/lynx-instruct-30b'>bineric/lynx-instruct-30b#no-thinking</a>,📝,2.19@@2.19,5.22,30532122624.0,151936.0,262144.0,✓,✗,(✓),✗,2.07@@2.07,2.44@@2.44,2.05@@2.05
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,2.20@@2.20,?,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,2.06@@2.06,2.40@@2.40,2.14@@2.14
