<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,
model,generative_type,rank,estonian,finnish,parameters,vocabulary_size,context,commercial,merge
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B#no-thinking</a>,📝,2.17@@2.17,2.36@@2.36,1.97@@1.97,30532122624.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,2.21@@2.21,2.40@@2.40,2.02@@2.02,30532122624.0,151936.0,262144.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,2.22@@2.22,2.46@@2.46,1.98@@1.98,14768307200.0,151936.0,40960.0,✓,✗
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.23@@2.23,2.34@@2.34,2.12@@2.12,?,256128.0,1048576.0,✓,✗
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,2.24@@2.24,2.48@@2.48,1.99@@1.99,?,?,200000.0,✓,✗
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,2.25@@2.25,2.29@@2.29,2.22@@2.22,11168796672.0,32128.0,32768.0,✓,✗
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#no-thinking</a>,📝,2.26@@2.26,2.35@@2.35,2.17@@2.17,110468824832.0,151552.0,131072.0,✓,✗
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,2.28@@2.28,2.54@@2.54,2.02@@2.02,14765947904.0,151665.0,131072.0,✓,✗
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.29@@2.29,2.17@@2.17,2.41@@2.41,22637328384.0,128000.0,32768.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B</a>,🤔,2.29@@2.29,2.67@@2.67,1.91@@1.91,30532122624.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,2.29@@2.29,2.26@@2.26,2.31@@2.31,22637328384.0,128000.0,4096.0,✓,✗
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.32@@2.32,2.47@@2.47,2.17@@2.17,21511953984.0,201088.0,131072.0,✓,✗
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,2.34@@2.34,2.10@@2.10,2.57@@2.57,22637328384.0,128000.0,32768.0,✓,✗
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.36@@2.36,2.56@@2.56,2.15@@2.15,7849978192.0,262400.0,?,✓,✗
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-haiku-20241022 (zero-shot, val)</a>",📝,2.36@@2.36,2.59@@2.59,2.13@@2.13,?,?,200000.0,✓,✗
<a href='https://hf.co/speakleash/Bielik-11B-v3-Base-20250730'>speakleash/Bielik-11B-v3-Base-20250730</a>,🧠,2.36@@2.36,2.48@@2.48,2.25@@2.25,11168796672.0,32128.0,32768.0,✓,✗
<a href='https://hf.co/BSC-LT/ALIA-40b'>BSC-LT/ALIA-40b</a>,🧠,2.37@@2.37,2.26@@2.26,2.48@@2.48,40433885184.0,256000.0,32768.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B</a>,🤔,2.40@@2.40,2.81@@2.81,1.99@@1.99,14768307200.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.40@@2.40,2.68@@2.68,2.13@@2.13,8190735360.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,2.42@@2.42,2.33@@2.33,2.50@@2.50,70599864480.0,131072.0,65536.0,✓,✗
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#thinking</a>,🤔,2.44@@2.44,2.57@@2.57,2.31@@2.31,110468824832.0,151552.0,131072.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,2.45@@2.45,2.67@@2.67,2.22@@2.22,4022468096.0,151936.0,262144.0,✓,✗
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,2.45@@2.45,2.67@@2.67,2.23@@2.23,32207337984.0,100352.0,131072.0,✓,✗
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.45@@2.45,2.64@@2.64,2.25@@2.25,8030261248.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/LumiOpen/Llama-Poro-2-8B-SFT'>LumiOpen/Llama-Poro-2-8B-SFT</a>,📝,2.47@@2.47,2.79@@2.79,2.14@@2.14,8030261248.0,128256.0,8192.0,✓,✗
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.47@@2.47,2.73@@2.73,2.20@@2.20,21511953984.0,201088.0,131072.0,✓,✗
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509</a>,📝,2.48@@2.48,2.57@@2.57,2.39@@2.39,8053338176.0,131072.0,65536.0,✗,✗
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.50@@2.50,2.65@@2.65,2.34@@2.34,8030326784.0,128264.0,131072.0,✓,✗
<a href='https://hf.co/LumiOpen/Llama-Poro-2-8B-Instruct'>LumiOpen/Llama-Poro-2-8B-Instruct</a>,📝,2.51@@2.51,2.82@@2.82,2.21@@2.21,8030261248.0,128256.0,8192.0,✓,✗
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.51@@2.51,2.79@@2.79,2.24@@2.24,9152319488.0,128000.0,4096.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B</a>,🤔,2.52@@2.52,2.88@@2.88,2.16@@2.16,8190735360.0,151936.0,40960.0,✓,✗
